Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HIF1A (mouse)	28/1124	0.9904877224134929	0.9999942770590278	0	0	0.6584718123932287	0.006293547329189664	TMEM63A;FAM69B;FHL1;SPINT2;HMGCR;TMEM163;DUSP16;ABLIM1;SCRN1;TCTEX1D1;SCN9A;SPOCK3;GCNT2;RNF150;LAG3;CDADC1;NOG;PDE4DIP;RASSF9;HSPG2;BAIAP3;PTPRD;DDAH2;ALDOC;GNB5;FREM1;FBXL4;FAM84B
NR1I2 (human)	36/1387	0.9910454088574618	0.9999942770590278	0	0	0.6849445705237738	0.006161024666497899	BHLHB9;TRANK1;RNF8;HSD17B14;ACACB;ABO;TMEM220;SOCS2;ING5;LAPTM4B;MYCT1;GCNT2;ATP6V0A2;HIST1H2AE;FAM65C;CTSF;RBM14;ABCA5;CAMLG;HTR1F;NICN1;AMT;NR1H3;PHKA1;SDHC;REC8;EHD2;KRT18;SLC9A7;PALLD;ARMC4;GIPC2;GATS;LUC7L3;HIST1H2BG;SLC29A2
KLF13 (human)	38/1453	0.9913000426538159	0.9999942770590278	0	0	0.6898095940208964	0.006027572039627874	SLC45A3;HIBADH;ICA1;ICAM4;LTBP3;TMEM91;PRKCZ;NUDT11;GPR173;NUDT10;ZNRF1;ZNF706;DPYSL3;MMP28;IDS;MYH10;ZKSCAN1;PRKG1;ARL10;ABCA2;GSTM3;PRELID2;ZNF462;MREG;PRMT2;NOG;KLHDC1;TC2N;SMARCA1;SLC8A3;IFT88;EVC;TMEM98;TAL1;MZB1;SERPINI1;RAPGEF3;TPT1
Gata1 (mouse)	51/1863	0.9913919818082445	0.9999942770590278	0	0	0.7203564700627294	0.006227684229738245	GUCY1B3;SPON1;GPR21;FHL1;CDH9;GPR173;SENP7;DACH1;MECOM;MED10;TRPS1;PLS3;PRKG1;STARD4;SYTL4;HSPG2;REXO4;SMO;RAPGEF2;RAB38;SHANK3;PDZRN4;GRAMD1C;HLF;TRANK1;MLLT3;NKAIN2;TMEM168;STK33;SPOCK3;ATP6V0A2;DNAJB9;TSPAN2;NHEJ1;ZKSCAN1;WDR17;RBPMS;EPHX2;NR1H3;PDE4DIP;SGCZ;GGCT;SH3YL1;KLHL6;PKIA;MYO5C;SSPN;NFE2L3;MAGED2;TAB2;GSTM5
CRX (human)	35/1362	0.991893231763425	0.9999942770590278	0	0	0.6778976643353926	0.005517955991050997	GRAMD1C;BHLHB9;FAM69B;RNF8;PEAR1;TMEM91;SOCS2;ING5;LAPTM4B;CHST12;CASP10;RSBN1L;GCNT2;ATP6V0A2;CTSF;JAK3;ANKRD6;CD52;SPINK2;RBM14;CAMLG;NICN1;NR1H3;PHKA1;NSUN7;TC2N;REC8;DPPA4;RAB13;ID1;ASB9;VN1R1;LUC7L3;AURKAIP1;PIGH
Myb (mouse)	52/1902	0.9921888110923618	0.9999942770590278	0	0	0.7188824066357106	0.005637372346821499	GUCY1B3;ROBO4;ULK4;SPINT2;DUSP18;RPGR;FAM134B;FAM102B;UCHL1;SCRN1;SLC22A17;FAM19A2;RNF17;CALN1;TSC22D1;LIMCH1;TRPC1;PGM2L1;CACNB2;IFT81;VWA2;FREM1;ST6GALNAC5;CHRNA5;NTPCR;FAM169A;TMEM163;PTGS1;REPIN1;NKAIN2;FGD5;STK33;PDZD2;GCNT2;ATP6V0A2;METTL6;BEND7;S1PR4;SLC10A5;MYEF2;STAC;FZD6;WDR54;PSMB8;DCBLD2;GGCT;FGF16;KLHL5;TNFSF4;MITD1;GNB5;TPT1
Pdx1 (mouse)	21/907	0.9926455129198207	0.9999942770590278	0	0	0.6118919141704923	0.004516780914706452	THRB;CCDC127;TPM2;SHFM1;ICA1;MIRLET7I;CABLES1;MSI2;NTPCR;TM2D3;ENO2;BACH2;THBS3;TRO;LRCH2;CD109;ATP6V0A2;BAALC;RNF150;ZIK1;ITGA9
FOXO3 (human)	1/132	0.9928801313473339	0.9999942770590278	0	0	0.1995578358987194	0.0014259077633153301	SDHC
SP1 (human)	36/1406	0.993143790022036	0.9999942770590278	0	0	0.6747290263800019	0.004642015446180756	TARSL2;PLAG1;FAM57A;FHL1;LTBP4;GATA3;MSI2;PRKCZ;BACH2;ABO;ADCY6;IGF1R;ING5;ATXN1;APH1B;TSPAN6;SH3BP4;HES1;TSPYL2;ST6GAL2;CAMK1D;TSC22D1;TPM2;ARHGEF17;SAMD4A;CTDSPL;HSPG2;BAIAP3;METTL23;EFNA1;SH3YL1;SETBP1;IFT81;ZNF135;ABCG1;ZFP28
NFE2 (human)	77/2681	0.9932441339787248	0.9999942770590278	0	0	0.7511023144505639	0.0050915650015404545	WDR49;ROBO4;SERPINE2;MPL;FBXO21;TMEM91;RYR3;SLC22A17;MMP28;GPRASP1;MCF2L2;PTRF;SLC18A2;PRKG1;TSPYL2;LAG3;ST6GAL2;TSC22D1;SLC2A10;LIMCH1;DDX58;NOG;C10ORF10;AMT;PAWR;LSR;TC2N;IFT88;PLCB4;OBSCN;EVC;CDCP1;CLDN15;POLG2;PALLD;CD109;ARMC4;MZB1;SNRPE;DSG2;HIST1H2BG;TMEM9;OPTN;RAPGEF3;ABCG1;EXD2;RALA;BHLHB9;KIAA1324L;NLRC3;GATA3;LTBP3;MED12L;LRP6;REPIN1;NKAIN2;STK33;ACTR3C;PPCS;BEND7;E2F5;S1PR4;ZNF300;ELP2;C1ORF21;NMI;SMARCA1;BAIAP3;TTC39B;SLC8A3;EFNA1;CCS;NFIA;TRIP6;ID3;PFKM;TPT1
